Date,Time,Home0 (mW),Home1 (mW),Home2 (mW),Home3 (mW),Grid (mW),Charge (mW),Discharge (mW),BATTERY,GRID,Voltage (mV),Battery (Ah)
04/05/2021,15:25:35,200,200,140,190,0,0,0,730,DISCONNECT,OFF,12213
04/05/2021,15:25:38,600,580,560,590,30,0,0,2300,DISCONNECT,ON,12210
04/05/2021,15:25:40,700,0,5960,1420,1770,0,0,6310,DISCONNECT,ON,11946
04/05/2021,15:25:42,1740,2370,2910,3120,400,0,0,9740,DISCHARGE,ON,12337
04/05/2021,15:25:44,2790,23820,9460,2880,30,0,0,38920,DISCHARGE,ON,12671
04/05/2021,15:25:46,3390,3920,3470,4470,5340,0,31910,-22000,DISCHARGE,ON,12498
04/05/2021,15:25:48,7100,3920,4420,580,1790,0,31910,-17680,DISCHARGE,ON,12605
04/05/2021,15:25:50,4290,22130,4540,1090,550,0,31910,-410,DISCHARGE,ON,12476
04/05/2021,15:25:52,860,23190,4310,2980,5040,0,31910,-5610,DISCHARGE,ON,12645
04/05/2021,15:25:54,4560,23190,6910,4070,6320,0,31910,500,DISCHARGE,ON,12453
04/05/2021,15:25:56,2740,21210,6690,1220,1190,0,31910,-1240,DISCHARGE,ON,12536
04/05/2021,15:25:58,2660,29240,8350,3720,1980,0,31910,10080,DISCHARGE,ON,12463
04/05/2021,15:26:00,270,31980,9790,2600,4120,0,31910,8610,DISCHARGE,ON,12572
04/05/2021,15:26:02,4200,8280,5480,3370,1040,0,31910,-11620,DISCHARGE,ON,12445
04/05/2021,15:26:04,4160,27090,5560,1190,960,0,31910,5130,DISCHARGE,ON,12436
04/05/2021,15:26:06,2210,32280,3560,2570,4330,0,31710,4580,DISCHARGE,ON,12582
04/05/2021,15:26:08,6890,32280,2930,540,2090,0,31710,8840,DISCHARGE,ON,12436
04/05/2021,15:26:10,600,25490,1100,2760,1130,0,31710,-2890,DISCHARGE,ON,12460
04/05/2021,15:26:12,2930,4150,4710,3840,5150,0,31710,-21230,DISCHARGE,ON,12395
04/05/2021,15:26:15,5560,20710,13070,2410,2180,0,31710,7860,DISCHARGE,ON,12435
04/05/2021,15:26:17,6090,20710,4930,2280,1880,0,31710,420,DISCHARGE,ON,12412
04/05/2021,15:26:19,2430,26620,5960,3120,2930,0,28800,6400,DISCHARGE,ON,12401
04/05/2021,15:26:21,2510,4250,3600,2960,2920,0,28800,-18400,DISCHARGE,ON,12388
04/05/2021,15:26:23,7330,4250,4660,580,1660,0,28800,-13640,DISCHARGE,ON,12401
04/05/2021,15:26:25,2190,23480,140,1700,1650,0,28800,-2940,DISCHARGE,ON,12510
04/05/2021,15:26:27,6690,23480,2980,1380,4100,0,28800,1630,DISCHARGE,ON,12417
04/05/2021,15:26:29,2600,23480,4700,1590,2070,0,28800,1500,DISCHARGE,ON,12495
04/05/2021,15:26:31,2100,5270,3070,2700,5000,0,31890,-23750,DISCHARGE,ON,12575
04/05/2021,15:26:33,6020,5270,6890,80,2700,0,31890,-16330,DISCHARGE,ON,12406
04/05/2021,15:26:35,2250,31980,5440,2620,3080,0,29160,10050,DISCHARGE,ON,12547
04/05/2021,15:26:37,3370,4220,6800,3330,7280,0,26470,-16030,DISCHARGE,ON,12350
04/05/2021,15:26:39,3710,4220,5470,50,1060,0,26470,-14080,DISCHARGE,ON,12373
04/05/2021,15:26:41,1510,29130,2970,2840,4630,0,26320,5500,DISCHARGE,ON,12403
04/05/2021,15:26:43,4210,2700,5160,3840,280,0,23580,-7950,DISCHARGE,ON,12341
04/05/2021,15:26:45,6320,20200,10060,2690,1910,0,23580,13780,DISCHARGE,ON,12465
04/05/2021,15:26:47,170,24550,1130,1690,4450,0,23580,-490,DISCHARGE,ON,12537
04/05/2021,15:26:49,3340,3400,2180,3560,5320,0,24900,-17740,DISCHARGE,ON,12343
04/05/2021,15:26:51,4680,3400,10570,170,1290,0,24900,-7370,DISCHARGE,ON,12355
04/05/2021,15:26:54,3580,20190,1610,2110,2650,0,24900,-60,DISCHARGE,ON,12476
04/05/2021,15:26:56,1650,27390,510,1880,3780,0,24880,2770,DISCHARGE,ON,12523
04/05/2021,15:26:58,4310,4160,7300,5030,8490,0,24880,-12570,DISCHARGE,ON,12323
04/05/2021,15:27:00,4040,4160,6750,690,280,0,24880,-9520,DISCHARGE,ON,12353
04/05/2021,15:27:02,4110,30660,3020,2020,1150,0,25790,12870,DISCHARGE,ON,12443
04/05/2021,15:27:04,3610,30660,6350,2610,6410,0,30040,6780,DISCHARGE,ON,12366
04/05/2021,15:27:06,2360,20010,10380,2590,290,0,32630,2420,DISCHARGE,ON,12360
04/05/2021,15:27:08,1720,30530,680,3840,4840,0,32630,-700,DISCHARGE,ON,12381
04/05/2021,15:27:10,4010,4750,8180,3850,4390,0,25100,-8700,DISCHARGE,ON,12313
04/05/2021,15:27:12,3240,4750,7070,3710,2750,0,25100,-9080,DISCHARGE,ON,12363
04/05/2021,15:27:14,1870,25750,8850,2920,4810,0,30810,3770,DISCHARGE,ON,12396
04/05/2021,15:27:16,4210,6660,3020,4290,1560,0,22800,-6180,DISCHARGE,ON,12350
04/05/2021,15:27:18,5120,31890,9840,450,1050,0,22800,23450,DISCHARGE,ON,12390
04/05/2021,15:27:20,80,20100,3710,2380,6760,0,32560,-13050,DISCHARGE,ON,12456
04/05/2021,15:27:22,2100,4390,6250,1830,2970,0,24690,-13090,DISCHARGE,ON,12323
04/05/2021,15:27:24,3840,4390,4770,3100,2290,0,24690,-10880,DISCHARGE,ON,12352
04/05/2021,15:27:26,5360,20660,9880,80,1020,0,32620,2340,DISCHARGE,ON,12217
04/05/2021,15:27:28,1050,30140,970,2800,840,0,32620,1500,DISCHARGE,ON,12431
04/05/2021,15:27:31,3370,31080,7710,4200,6860,0,20310,19190,DISCHARGE,ON,12193
04/05/2021,15:27:33,5630,31960,9290,1090,1460,0,20310,26200,DISCHARGE,ON,12315
04/05/2021,15:27:35,2530,22250,700,2460,4990,0,28170,-5220,DISCHARGE,ON,12408
04/05/2021,15:27:37,3340,22250,8790,4840,760,0,25720,12740,DISCHARGE,ON,12252
04/05/2021,15:27:39,2110,22250,4310,2470,920,0,25720,4500,DISCHARGE,ON,12230
04/05/2021,15:27:41,2600,4750,790,1450,5680,0,27850,-23940,DISCHARGE,ON,12287
04/05/2021,15:27:43,5150,15100,5440,2680,1700,0,27850,-1180,DISCHARGE,ON,12298
04/05/2021,15:27:45,3150,21860,700,1950,3050,0,23320,1290,DISCHARGE,ON,12423
04/05/2021,15:27:47,3520,3240,3480,4420,810,0,31820,-17970,DISCHARGE,ON,12341
04/05/2021,15:27:49,3000,21760,6230,2150,1160,0,28490,3490,DISCHARGE,ON,12366
04/05/2021,15:27:51,60,24290,9150,2640,5120,0,28490,2530,DISCHARGE,ON,12478
04/05/2021,15:27:53,2100,18270,600,2320,3550,0,23510,-3770,DISCHARGE,ON,12330
04/05/2021,15:27:55,2850,18270,3750,1220,960,0,31920,-6790,DISCHARGE,ON,12265
04/05/2021,15:27:57,190,31070,320,2740,1160,0,31920,1240,DISCHARGE,ON,12271
04/05/2021,15:27:59,1660,5260,590,2760,4150,0,21440,-15320,DISCHARGE,ON,12373
04/05/2021,15:28:01,2240,9680,6340,5240,1780,0,29800,-8080,DISCHARGE,ON,12183
04/05/2021,15:28:03,6350,9680,4970,130,2280,0,29800,-10950,DISCHARGE,ON,12348
04/05/2021,15:28:05,5570,28400,9690,2620,1920,0,29800,14560,DISCHARGE,ON,12418
04/05/2021,15:28:07,2460,7030,5980,2380,4170,0,21090,-7410,DISCHARGE,ON,12421
04/05/2021,15:28:10,3320,6170,6710,4700,2320,0,31870,-13290,DISCHARGE,ON,12298
04/05/2021,15:28:12,90,20190,4380,1970,2740,0,31830,-7940,DISCHARGE,ON,12322
04/05/2021,15:28:14,1950,4310,3940,2650,1240,0,25450,-13840,DISCHARGE,ON,12241
04/05/2021,15:28:16,1550,15190,7580,4600,2480,0,27520,-1080,DISCHARGE,ON,12335
04/05/2021,15:28:18,1200,19490,6550,1690,2420,0,27150,-640,DISCHARGE,ON,12330
04/05/2021,15:28:20,4450,31210,10780,2410,670,0,28250,19930,DISCHARGE,ON,12333
04/05/2021,15:28:22,6200,26710,5130,130,2050,0,28250,7870,DISCHARGE,ON,12335
04/05/2021,15:28:24,1770,20580,1010,2050,4900,0,32350,-11840,DISCHARGE,ON,12477
04/05/2021,15:28:26,2480,2850,7740,4530,1980,0,21120,-5500,DISCHARGE,ON,12380
04/05/2021,15:28:28,4900,2850,4600,4670,1680,0,21120,-5780,DISCHARGE,ON,12192
04/05/2021,15:28:30,5620,2850,9230,1020,2180,0,29670,-13130,DISCHARGE,ON,12238
04/05/2021,15:28:32,3430,2850,3780,3840,4840,0,29710,-20650,DISCHARGE,ON,12317
04/05/2021,15:28:34,4810,4340,6310,4850,4340,0,28600,-12630,DISCHARGE,ON,12308
04/05/2021,15:28:36,2750,10280,10920,3600,4080,0,31960,-8490,DISCHARGE,ON,12340
04/05/2021,15:28:38,550,10280,9040,2780,910,0,25840,-4100,DISCHARGE,ON,12382
04/05/2021,15:28:40,2160,5000,4510,4880,400,0,21240,-5090,DISCHARGE,ON,12236
04/05/2021,15:28:42,2240,8040,2890,3780,5790,0,30570,-19410,DISCHARGE,ON,12202
04/05/2021,15:28:44,1480,19190,14020,600,2180,0,26570,6540,DISCHARGE,ON,12342
04/05/2021,15:28:47,60,24670,9290,2520,1000,0,26570,8970,DISCHARGE,ON,12490
04/05/2021,15:28:49,2040,23210,2660,1750,3570,0,26570,-480,DISCHARGE,ON,12423
04/05/2021,15:28:51,2880,3430,5180,4570,1910,0,31480,-17330,DISCHARGE,ON,12190
04/05/2021,15:28:53,6170,28650,5590,50,4620,0,31480,4360,DISCHARGE,ON,12352
04/05/2021,15:28:55,310,18330,9040,1650,2650,0,31480,-4800,DISCHARGE,ON,12251
04/05/2021,15:28:57,2420,3320,900,3170,3300,0,29580,-23070,DISCHARGE,ON,12130
04/05/2021,15:28:59,2390,12900,9230,3890,4770,0,29120,-5480,DISCHARGE,ON,12125
04/05/2021,15:29:01,2250,12900,2650,1600,5000,0,28060,-13660,DISCHARGE,ON,12276
04/05/2021,15:29:03,5410,12900,3570,3250,5080,0,28060,-8010,DISCHARGE,ON,12125
04/05/2021,15:29:05,5200,12900,5960,2430,1100,0,31710,-6320,DISCHARGE,ON,12276
04/05/2021,15:29:07,60,29910,920,2100,4670,0,31860,-3540,DISCHARGE,ON,12467
04/05/2021,15:29:09,2800,8830,7680,4360,3880,0,31820,-12030,DISCHARGE,ON,12277
04/05/2021,15:29:11,1740,4130,6760,3940,930,0,26820,-11180,DISCHARGE,ON,12311
04/05/2021,15:29:13,3670,25190,6430,3350,3530,0,27340,7770,DISCHARGE,ON,12335
04/05/2021,15:29:15,720,19430,7990,2040,2160,0,27340,680,DISCHARGE,ON,12237
04/05/2021,15:29:17,790,29800,3460,2610,450,0,28480,7730,DISCHARGE,ON,12482
04/05/2021,15:29:19,2760,10570,440,1380,3780,0,28480,-17110,DISCHARGE,ON,12281
04/05/2021,15:29:21,4740,3700,8200,3380,1340,0,28480,-9800,DISCHARGE,ON,12146
04/05/2021,15:29:24,7360,24790,6230,3290,1840,0,28480,11350,DISCHARGE,ON,12167
04/05/2021,15:29:26,6040,18660,9500,2280,780,0,28480,7220,DISCHARGE,ON,12195
04/05/2021,15:29:28,3380,3870,5440,3650,1470,0,28850,-13980,DISCHARGE,ON,12298
04/05/2021,15:29:30,2620,13660,4450,5120,1840,0,28850,-4840,DISCHARGE,ON,12191
04/05/2021,15:29:32,3140,13660,5090,3710,3660,0,30040,-8100,DISCHARGE,ON,12283
04/05/2021,15:29:34,320,23210,9410,1610,330,0,32090,2130,DISCHARGE,ON,12177
04/05/2021,15:29:36,90,18550,3790,2120,1250,0,32090,-8790,DISCHARGE,ON,12142
04/05/2021,15:29:38,2560,4130,3920,4010,2750,0,30340,-18470,DISCHARGE,ON,12242
04/05/2021,15:29:40,2570,5760,1930,4110,1520,0,30910,-18060,DISCHARGE,ON,12298
04/05/2021,15:29:42,3480,5760,6270,60,4360,0,30910,-19700,DISCHARGE,ON,12263
04/05/2021,15:29:44,6110,5760,6180,1060,1220,0,30910,-13020,DISCHARGE,ON,12150
04/05/2021,15:29:46,460,30320,840,2840,4560,0,31140,-1240,DISCHARGE,ON,12197
04/05/2021,15:29:48,2890,18650,6260,3760,5430,0,26690,-560,DISCHARGE,ON,12202
04/05/2021,15:29:50,2140,18650,9110,180,3030,0,27430,-380,DISCHARGE,ON,12298
04/05/2021,15:29:52,2650,28100,3420,2640,560,0,27430,8820,DISCHARGE,ON,12141
04/05/2021,15:29:54,170,20350,4720,3150,560,0,27160,670,DISCHARGE,ON,12312
04/05/2021,15:29:56,360,22870,1290,2930,970,0,27160,-680,DISCHARGE,ON,12252
04/05/2021,15:29:58,3780,3030,3960,2210,260,0,25360,-12640,DISCHARGE,ON,12206
04/05/2021,15:30:00,2280,31020,4760,3400,4290,0,25360,11810,DISCHARGE,ON,12282
04/05/2021,15:30:03,2690,31020,5130,2730,2560,0,25360,13650,DISCHARGE,ON,12163
04/05/2021,15:30:05,4840,26200,10460,2320,3980,0,28120,11720,DISCHARGE,ON,12323
04/05/2021,15:30:07,90,32330,3520,2910,5000,0,20190,13660,DISCHARGE,ON,12445
04/05/2021,15:30:09,4840,5300,7760,4010,6270,0,26920,-11280,DISCHARGE,ON,12115
04/05/2021,15:30:11,3670,3780,5520,4060,5470,0,25970,-14410,DISCHARGE,ON,12246
04/05/2021,15:30:13,2470,29930,6640,650,2660,0,31120,5910,DISCHARGE,ON,12256
04/05/2021,15:30:15,3400,19280,3920,1130,260,0,27790,-320,DISCHARGE,ON,12292
04/05/2021,15:30:17,2830,23570,1160,2430,2830,0,32050,-4890,DISCHARGE,ON,12322
04/05/2021,15:30:19,3560,3830,5390,1980,3690,0,26420,-15350,DISCHARGE,ON,12335
04/05/2021,15:30:21,1960,24780,8200,2910,4250,0,26560,7040,DISCHARGE,ON,12422
04/05/2021,15:30:23,3390,31690,1200,2230,3490,0,32510,2510,DISCHARGE,ON,12278
04/05/2021,15:30:25,3060,7640,6040,6980,6980,0,24150,-7410,DISCHARGE,ON,12087
04/05/2021,15:30:27,4630,31570,7500,1650,490,0,24150,20710,DISCHARGE,ON,12232
04/05/2021,15:30:29,2740,6940,1080,1870,2270,0,26060,-15700,DISCHARGE,ON,12100
04/05/2021,15:30:31,3720,3700,6990,3890,8360,0,23010,-13070,DISCHARGE,ON,12217
04/05/2021,15:30:33,2660,29610,7360,310,1640,0,23010,15290,DISCHARGE,ON,12122
04/05/2021,15:30:35,3380,29610,2690,370,2460,0,28890,4700,DISCHARGE,ON,12333
04/05/2021,15:30:37,320,20940,5400,2510,4850,0,28890,-4570,DISCHARGE,ON,12243
04/05/2021,15:30:40,2060,3890,2440,2590,7010,0,25910,-21940,DISCHARGE,ON,12240
04/05/2021,15:30:42,3400,12710,6680,3190,5560,0,25910,-5490,DISCHARGE,ON,12138
04/05/2021,15:30:44,6000,20130,4080,1960,1340,0,25910,4920,DISCHARGE,ON,12208
04/05/2021,15:30:46,3870,18300,3690,2050,2890,0,30310,-5290,DISCHARGE,ON,12316
04/05/2021,15:30:48,550,27350,1930,2390,1250,0,30310,660,DISCHARGE,ON,12286
04/05/2021,15:30:50,3490,5080,7130,5200,6530,0,21270,-6900,DISCHARGE,ON,12221
04/05/2021,15:30:52,3530,4770,3060,3490,2970,0,27620,-15740,DISCHARGE,ON,12105
04/05/2021,15:30:54,2000,3530,670,4080,1290,0,29810,-20820,DISCHARGE,ON,12145
04/05/2021,15:30:56,6480,26300,5060,760,310,0,27990,10300,DISCHARGE,ON,12245
04/05/2021,15:30:58,5360,18410,7460,2730,970,0,27990,5000,DISCHARGE,ON,12101
04/05/2021,15:31:00,3050,22180,8990,3720,1790,0,26370,9780,DISCHARGE,ON,12292
04/05/2021,15:31:02,7810,22180,6430,440,1230,0,26370,9260,DISCHARGE,ON,12131
04/05/2021,15:31:04,4810,19010,6770,2500,220,0,26370,6500,DISCHARGE,ON,12096
04/05/2021,15:31:06,2070,28280,9450,3240,3350,0,25500,14190,DISCHARGE,ON,12433
04/05/2021,15:31:08,6630,18730,5060,780,2050,0,25500,3650,DISCHARGE,ON,12122
04/05/2021,15:31:10,690,25860,6030,2960,590,0,27020,7930,DISCHARGE,ON,12373
04/05/2021,15:31:12,2880,3330,1330,1610,220,0,26970,-18040,DISCHARGE,ON,12178
04/05/2021,15:31:14,1550,23210,5710,2190,3210,0,26970,2480,DISCHARGE,ON,12083
04/05/2021,15:31:16,5520,19940,6410,1750,720,0,24180,8720,DISCHARGE,ON,12291
04/05/2021,15:31:19,2330,14810,1040,2230,2960,0,29940,-12490,DISCHARGE,ON,12263
04/05/2021,15:31:21,3830,14810,6800,1890,3290,0,29940,-5900,DISCHARGE,ON,12106
04/05/2021,15:31:23,6080,14810,6430,2150,100,0,29940,-570,DISCHARGE,ON,12107
04/05/2021,15:31:25,1000,25830,9820,2290,3110,0,29940,5890,DISCHARGE,ON,12235
04/05/2021,15:31:27,2060,30590,6370,2500,5080,0,29940,6500,DISCHARGE,ON,12286
04/05/2021,15:31:29,3100,7580,1330,4160,3440,0,30640,-17910,DISCHARGE,ON,12237
04/05/2021,15:31:31,2430,3780,7560,3430,2780,0,30640,-16220,DISCHARGE,ON,12083
04/05/2021,15:31:33,2620,3780,7320,820,870,0,30640,-16970,DISCHARGE,ON,12102
04/05/2021,15:31:35,2890,22390,9140,2480,320,0,30640,5940,DISCHARGE,ON,12225
04/05/2021,15:31:37,450,27920,1790,2240,3510,0,30640,-1750,DISCHARGE,ON,12248
04/05/2021,15:31:39,3110,25700,7860,4510,7620,0,30640,2920,DISCHARGE,ON,12060
04/05/2021,15:31:41,4570,18740,9420,2790,630,0,30640,4250,DISCHARGE,ON,12157
04/05/2021,15:31:43,2430,17560,4070,1910,310,0,30640,-4980,DISCHARGE,ON,12142
04/05/2021,15:31:45,2640,17560,8170,500,270,0,30640,-2040,DISCHARGE,ON,12095
04/05/2021,15:31:47,650,28630,320,1750,4390,0,30640,-3680,DISCHARGE,ON,12235
04/05/2021,15:31:49,4020,7230,3650,4490,6000,0,30640,-17250,DISCHARGE,ON,12057
04/05/2021,15:31:51,960,19120,3290,2570,1520,0,30640,-6220,DISCHARGE,ON,12141
04/05/2021,15:31:53,220,19440,1820,1660,130,0,30640,-7630,DISCHARGE,ON,12162
04/05/2021,15:31:56,4890,4470,2100,3890,870,0,30000,-15520,DISCHARGE,ON,12133
04/05/2021,15:31:58,4560,4470,4840,50,830,0,30000,-16910,DISCHARGE,ON,12107
04/05/2021,15:32:00,6520,28900,7880,80,1410,0,30000,11970,DISCHARGE,ON,12096
04/05/2021,15:32:02,6390,19890,10270,2570,1270,0,30000,7850,DISCHARGE,ON,12110
04/05/2021,15:32:04,1750,18270,9700,1610,2500,0,30000,-1170,DISCHARGE,ON,12266
04/05/2021,15:32:06,3930,4840,1190,3400,2430,0,29720,-18790,DISCHARGE,ON,12140
04/05/2021,15:32:08,700,18340,9880,2420,600,0,29720,1020,DISCHARGE,ON,12260
04/05/2021,15:32:10,4100,30230,4580,320,760,0,32740,5730,DISCHARGE,ON,12133
04/05/2021,15:32:12,1640,27610,9220,1280,3960,0,27820,7970,DISCHARGE,ON,12388
04/05/2021,15:32:14,2140,29770,4190,1450,4570,0,18160,14820,DISCHARGE,ON,12433
04/05/2021,15:32:16,2800,9680,2290,4740,6310,0,20630,-7430,DISCHARGE,ON,12222
04/05/2021,15:32:18,2090,9680,4380,550,8820,0,20630,-12750,DISCHARGE,ON,12271
04/05/2021,15:32:20,4170,10380,3510,5590,1640,0,20970,1040,DISCHARGE,ON,12241
04/05/2021,15:32:22,2880,10380,6090,5080,7450,0,20970,-3990,DISCHARGE,ON,12162
04/05/2021,15:32:24,3840,10380,5880,400,1010,0,20970,-1480,DISCHARGE,ON,12106
04/05/2021,15:32:26,10,21220,8200,2650,2180,0,32560,-2660,DISCHARGE,ON,12088
04/05/2021,15:32:28,2360,21220,8130,4900,5310,0,32560,-1260,DISCHARGE,ON,12067
04/05/2021,15:32:30,3550,18570,10270,2240,1240,0,32560,830,DISCHARGE,ON,12137
04/05/2021,15:32:33,830,23050,2650,1340,630,0,29610,-2370,DISCHARGE,ON,12228
04/05/2021,15:32:35,6890,18250,5310,90,90,0,29610,840,DISCHARGE,ON,12113
04/05/2021,15:32:37,5300,18250,6250,2090,1570,0,28110,2210,DISCHARGE,ON,12195
04/05/2021,15:32:39,3810,23990,9450,2570,1340,0,23590,14890,DISCHARGE,ON,12276
04/05/2021,15:32:41,1570,19510,13650,2560,230,0,25470,11590,DISCHARGE,ON,12310
04/05/2021,15:32:43,220,20480,0,2880,6800,0,29490,-12710,DISCHARGE,ON,12350
04/05/2021,15:32:45,2690,4290,2570,2520,3430,0,31040,-22400,DISCHARGE,ON,12193
04/05/2021,15:32:47,3810,2910,7740,1910,2280,0,31040,-16950,DISCHARGE,ON,12067
04/05/2021,15:32:49,4400,30080,8880,1660,1090,0,31040,12890,DISCHARGE,ON,12106
04/05/2021,15:32:51,7650,21080,10100,1770,810,0,31040,8750,DISCHARGE,ON,12110
04/05/2021,15:32:53,240,28460,3200,2150,5130,0,31040,-2120,DISCHARGE,ON,12286
04/05/2021,15:32:55,330,8380,2660,2470,4330,0,25560,-16050,DISCHARGE,ON,12421
04/05/2021,15:32:57,2660,4280,3470,2180,6920,0,23130,-17460,DISCHARGE,ON,12226
04/05/2021,15:32:59,2590,3650,6760,3210,4070,0,28810,-16670,DISCHARGE,ON,12198
04/05/2021,15:33:01,5200,27390,8830,1420,2750,0,31360,8730,DISCHARGE,ON,12182
04/05/2021,15:33:03,5950,20540,7210,780,2360,0,31360,760,DISCHARGE,ON,12128
04/05/2021,15:33:05,80,25790,350,2530,1830,0,31360,-4440,DISCHARGE,ON,12207
04/05/2021,15:33:07,5080,6870,9170,1250,80,0,25980,-3690,DISCHARGE,ON,12148
04/05/2021,15:33:09,3900,3470,1270,810,3050,0,27090,-20690,DISCHARGE,ON,12162
04/05/2021,15:33:12,2960,3080,5890,3420,4630,0,27030,-16310,DISCHARGE,ON,12282
04/05/2021,15:33:14,5790,23280,3810,140,2100,0,29170,1750,DISCHARGE,ON,12285
04/05/2021,15:33:16,5110,21220,8400,2940,6400,0,30730,540,DISCHARGE,ON,12171
04/05/2021,15:33:18,4860,17950,13040,2470,1050,0,30730,6540,DISCHARGE,ON,12102
04/05/2021,15:33:20,5890,20330,1400,2060,1800,0,30730,-2850,DISCHARGE,ON,12123
04/05/2021,15:33:22,2510,3990,2050,3430,3060,0,30730,-21810,DISCHARGE,ON,12282
04/05/2021,15:33:24,2190,2980,5450,4120,2270,0,19430,-6960,DISCHARGE,ON,12382
04/05/2021,15:33:26,100,22310,6170,2320,2420,0,28390,90,DISCHARGE,ON,12336
04/05/2021,15:33:28,1080,22310,8470,3210,9810,0,28390,-3130,DISCHARGE,ON,12203
04/05/2021,15:33:30,2740,22310,2970,1650,30,0,28390,1250,DISCHARGE,ON,12081
04/05/2021,15:33:32,4900,31890,5750,950,270,0,28390,14830,DISCHARGE,ON,12092
04/05/2021,15:33:34,4080,4310,4620,1520,3650,0,24100,-13220,DISCHARGE,ON,12113
04/05/2021,15:33:36,4530,4310,3170,490,2210,0,28220,-17930,DISCHARGE,ON,12283
04/05/2021,15:33:38,3710,11920,5980,4360,7030,0,27000,-8060,DISCHARGE,ON,12231
04/05/2021,15:33:40,1290,25520,8790,3200,3560,0,25190,10050,DISCHARGE,ON,12393
04/05/2021,15:33:42,4190,18610,3480,3320,5300,0,25190,-890,DISCHARGE,ON,12191
04/05/2021,15:33:44,2910,21750,860,1420,640,0,25190,1110,DISCHARGE,ON,12196
04/05/2021,15:33:46,4190,23280,3930,920,1220,0,27740,3360,DISCHARGE,ON,12280
04/05/2021,15:33:49,2000,4250,6960,4770,30,0,18680,-730,DISCHARGE,ON,12251
04/05/2021,15:33:51,1370,4250,5530,2230,9010,0,30490,-26120,DISCHARGE,ON,12217
04/05/2021,15:33:53,4800,21250,7810,2750,1000,0,30490,5120,DISCHARGE,ON,12223
04/05/2021,15:33:55,1570,26130,7500,2230,4880,0,30490,2060,DISCHARGE,ON,12242
04/05/2021,15:33:57,3190,31950,1160,2340,4710,0,27350,6580,DISCHARGE,ON,12153
04/05/2021,15:33:59,2290,9870,4840,4060,5090,0,24880,-8910,DISCHARGE,ON,12236
04/05/2021,15:34:01,1550,31040,6660,4150,6460,0,24880,12060,DISCHARGE,ON,12176
04/05/2021,15:34:03,5890,31040,9370,280,1500,0,24880,20200,DISCHARGE,ON,12107
04/05/2021,15:34:05,640,19000,10500,2660,1180,0,31710,-90,DISCHARGE,ON,12107
04/05/2021,15:34:07,2590,8870,7330,1220,4170,0,21810,-5970,DISCHARGE,ON,12405
04/05/2021,15:34:09,2210,4650,7960,4540,5590,0,17820,-4050,DISCHARGE,ON,12237
04/05/2021,15:34:11,2150,4650,2020,720,10910,0,17820,-19190,DISCHARGE,ON,12203
04/05/2021,15:34:13,3990,10960,4080,1230,5290,0,31590,-16620,DISCHARGE,ON,12105
04/05/2021,15:34:15,5640,24150,9240,1800,960,0,31320,8550,DISCHARGE,ON,12185
04/05/2021,15:34:17,140,31690,9280,3120,680,0,24790,18760,DISCHARGE,ON,12342
04/05/2021,15:34:19,2500,29770,5340,2390,4620,0,25600,9780,DISCHARGE,ON,12318
04/05/2021,15:34:21,1970,20740,5200,3980,1790,0,32510,-2410,DISCHARGE,ON,12185
04/05/2021,15:34:23,3190,20740,3190,3470,1430,0,32510,-3350,DISCHARGE,ON,12077
04/05/2021,15:34:26,5730,20740,5560,650,2010,0,32510,-1840,DISCHARGE,ON,12111
04/05/2021,15:34:28,1660,18680,8700,2780,290,0,25130,6400,DISCHARGE,ON,12275
04/05/2021,15:34:30,540,25100,11660,3140,4720,0,23680,12040,DISCHARGE,ON,12383
04/05/2021,15:34:32,2190,3970,4380,4430,1480,0,26000,-12510,DISCHARGE,ON,12130
04/05/2021,15:34:34,2200,3700,3330,2730,1290,0,26000,-15330,DISCHARGE,ON,12111
04/05/2021,15:34:36,2820,30630,6540,3380,150,0,31300,11920,DISCHARGE,ON,12205
04/05/2021,15:34:38,4020,24080,8150,320,870,0,26730,8970,DISCHARGE,ON,12283
04/05/2021,15:34:40,2480,19430,5900,580,3800,0,32260,-7670,DISCHARGE,ON,12122
04/05/2021,15:34:42,2320,18520,12840,2420,600,0,32260,3240,DISCHARGE,ON,12240
04/05/2021,15:34:44,2970,21610,4900,2590,520,0,24850,6700,DISCHARGE,ON,12391
04/05/2021,15:34:46,3210,5170,3050,1970,6070,0,21090,-13760,DISCHARGE,ON,12220
04/05/2021,15:34:48,3340,2930,1590,5310,5480,0,27260,-19570,DISCHARGE,ON,12080
04/05/2021,15:34:50,3480,7640,7350,2750,6640,0,27260,-12680,DISCHARGE,ON,12121
04/05/2021,15:34:52,1570,26870,8500,1360,3100,0,28070,7130,DISCHARGE,ON,12315
04/05/2021,15:34:54,1360,26870,4350,1540,5170,0,32000,-3050,DISCHARGE,ON,12188
04/05/2021,15:34:56,5890,18390,8820,2590,4900,0,32000,-1210,DISCHARGE,ON,12153
04/05/2021,15:34:58,2650,21410,6280,1360,3440,0,32000,-3740,DISCHARGE,ON,12248
04/05/2021,15:35:00,1600,26540,8420,2190,1650,0,28970,8130,DISCHARGE,ON,12203
04/05/2021,15:35:02,2210,28920,3940,2360,970,0,23140,13320,DISCHARGE,ON,12316
04/05/2021,15:35:05,640,32300,30,3150,2590,0,23140,10390,DISCHARGE,ON,12233
04/05/2021,15:35:07,690,21800,13790,2330,4100,0,23140,11370,DISCHARGE,ON,12227
